CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,Latitude,Longitude,Lat_Lon
553066329,12/08/2016,13:00:00,12/16/2016,13:00:00,02/04/2017,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",ATTEMPTED,FELONY,N.Y. POLICE DEPT,QUEENS,112,INSIDE,RESIDENCE - APT. HOUSE,40.724577203,-73.86590011,"(40.724577203, -73.86590011)"
227684681,12/08/2016,09:30:00,02/02/2017,09:00:00,02/02/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,RESTAURANT/DINER,40.755988005,-73.969190893,"(40.755988005, -73.969190893)"
238099256,12/08/2016,00:01:00,12/16/2016,23:59:00,02/02/2017,109,GRAND LARCENY,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,OTHER,40.671337101,-73.936450606,"(40.671337101, -73.936450606)"
733857624,12/08/2016,16:00:00,,,01/31/2017,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,RESIDENCE - APT. HOUSE,40.767848752,-73.987629545,"(40.767848752, -73.987629545)"
845456703,12/08/2016,11:00:00,01/30/2017,13:30:00,01/30/2017,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,114,INSIDE,RESTAURANT/DINER,40.761047179,-73.923395152,"(40.761047179, -73.923395152)"
574154873,12/08/2016,10:00:00,01/20/2017,13:00:00,01/30/2017,109,GRAND LARCENY,430,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,102,INSIDE,RESIDENCE-HOUSE,40.691115029,-73.856213242,"(40.691115029, -73.856213242)"
667619375,12/08/2016,00:01:00,01/29/2017,00:01:00,01/30/2017,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,CHAIN STORE,40.676828327,-73.934538222,"(40.676828327, -73.934538222)"
948687722,12/08/2016,09:00:00,12/08/2016,15:00:00,01/22/2017,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,111,INSIDE,RESIDENCE - APT. HOUSE,40.758346935,-73.723302585,"(40.758346935, -73.723302585)"
577745536,12/08/2016,20:30:00,12/08/2016,21:15:00,01/19/2017,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,32,INSIDE,RESIDENCE - APT. HOUSE,40.817224605,-73.944216122,"(40.817224605, -73.944216122)"
646407733,12/08/2016,00:01:00,,,01/18/2017,109,GRAND LARCENY,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67,INSIDE,RESIDENCE-HOUSE,40.643462944,-73.945388356,"(40.643462944, -73.945388356)"
527079017,12/08/2016,11:22:00,12/08/2016,12:00:00,01/17/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,66,INSIDE,COMMERCIAL BUILDING,40.63121767,-73.99787943,"(40.63121767, -73.99787943)"
450722599,12/08/2016,22:30:00,,,01/15/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESTAURANT/DINER,40.737384769,-73.987321263,"(40.737384769, -73.987321263)"
786279491,12/08/2016,14:39:00,12/11/2016,16:16:00,01/15/2017,109,GRAND LARCENY,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,40.53524944,-74.21976956,"(40.53524944, -74.21976956)"
286383019,12/08/2016,17:00:00,,,01/14/2017,109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46,INSIDE,RESIDENCE - APT. HOUSE,40.852141187,-73.922375722,"(40.852141187, -73.922375722)"
